air_pressure,city,evaporation,months,relative_humidity,year
923.3,Bandung,3.9,January,79,2013
922.1,Bandung,3.7,February,80,2013
923.4,Bandung,4.2,March,79,2013
922.7,Bandung,3.2,April,82,2013
922.9,Bandung,3.3,May,82,2013
922.1,Bandung,3.4,June,78,2013
923.2,Bandung,3.1,July,77,2013
923.9,Bandung,4.2,August,71,2013
923.8,Bandung,4.4,September,70,2013
924.5,Bandung,4.4,October,73,2013
922.5,Bandung,4,November,74,2013
922.5,Bandung,3.5,December,80,2013
923.9,Bandung,3.8,January,82,2014
922.9,Bandung,3.6,February,80,2014
923.7,Bandung,3.4,March,82,2014
923.6,Bandung,3.7,April,81,2014
923.6,Bandung,3,May,81,2014
923.1,Bandung,2.7,June,80,2014
924.1,Bandung,3.2,July,77,2014
924.4,Bandung,3.7,August,73,2014
924.8,Bandung,4.8,September,64,2014
924.2,Bandung,4.1,October,67,2014
923.7,Bandung,3.5,November,79,2014
922.9,Bandung,3.8,December,80,2014
924,Bandung,3.8,January,79,2015
923.8,Bandung,3.7,February,80,2015
924.1,Bandung,4,March,79,2015
923.2,Bandung,3.4,April,81,2015
924.1,Bandung,3.1,May,77,2015
923.9,Bandung,3.4,June,74,2015
924.5,Bandung,3.6,July,70,2015
924.4,Bandung,4.3,August,66,2015
924.8,Bandung,4.8,September,64,2015
925.1,Bandung,4.8,October,63,2015
923.4,Bandung,3.9,November,79,2015
924.1,Bandung,3.9,December,82,2015
924.5,Bandung,3.9,January,81,2016
924.1,Bandung,3.1,February,80,2016
924.2,Bandung,3.2,March,83,2016
923.7,Bandung,3.1,April,84,2016
923.3,Bandung,2.8,May,83,2016
924.1,Bandung,3,June,79,2016
923.5,Bandung,3.1,July,79,2016
922.3,Bandung,3.4,August,66,2016
923.5,Bandung,3.3,September,80,2016
923.1,Bandung,2.8,October,83,2016
923,Bandung,3.2,November,84,2016
922.1,Bandung,3.7,December,76,2016
922.3,Bandung,3.6,January,75,2017
923.2,Bandung,3,February,81,2017
923.3,Bandung,3.5,March,80,2017
923.4,Bandung,3,April,81,2017
923.3,Bandung,3.1,May,78,2017
923.9,Bandung,2.6,June,79,2017
924,Bandung,3.1,July,74,2017
923.6,Bandung,3.9,August,71,2017
923.9,Bandung,3.7,September,71,2017
922.8,Bandung,3.5,October,80,2017
921.1,Bandung,3,November,82,2017
922,Bandung,3.9,December,76,2017
