avg_speed,city,max_speed,months,year
4,Bandung,12,January,2013
4,Bandung,10,February,2013
4,Bandung,9,March,2013
3,Bandung,10,April,2013
3,Bandung,9,May,2013
3,Bandung,10,June,2013
3,Bandung,9,July,2013
3,Bandung,9,August,2013
3,Bandung,8,September,2013
3,Bandung,10,October,2013
4,Bandung,11,November,2013
3,Bandung,13,December,2013
4,Bandung,9,January,2014
4,Bandung,12,February,2014
3,Bandung,10,March,2014
3,Bandung,30,April,2014
3,Bandung,9,May,2014
3,Bandung,8,June,2014
3,Bandung,9,July,2014
3,Bandung,30,August,2014
4,Bandung,12,September,2014
4,Bandung,16,October,2014
3,Bandung,13,November,2014
4,Bandung,12,December,2014
4,Bandung,13,January,2015
5,Bandung,12,February,2015
5,Bandung,13,March,2015
4,Bandung,12,April,2015
4,Bandung,9,May,2015
4,Bandung,9,June,2015
4,Bandung,15,July,2015
4,Bandung,9,August,2015
4,Bandung,15,September,2015
4,Bandung,12,October,2015
4,Bandung,12,November,2015
4,Bandung,17,December,2015
4,Bandung,14,January,2016
5,Bandung,13,February,2016
4,Bandung,10,March,2016
4,Bandung,12,April,2016
4,Bandung,10,May,2016
4,Bandung,10,June,2016
4,Bandung,10,July,2016
4,Bandung,10,August,2016
4,Bandung,13,September,2016
4,Bandung,12,October,2016
4,Bandung,19,November,2016
6,Bandung,15,December,2016
5,Bandung,19,January,2017
5,Bandung,16,February,2017
5,Bandung,12,March,2017
4,Bandung,15,April,2017
4,Bandung,10,May,2017
4,Bandung,10,June,2017
5,Bandung,10,July,2017
5,Bandung,8,August,2017
4,Bandung,8,September,2017
4,Bandung,13,October,2017
5,Bandung,16,November,2017
6,Bandung,16,December,2017
